h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
36.7,0.456926595,35.15,0.54654688,33.3,0.418284588,28.45,0.505708936
36.8,0.456461924,35.5,0.546128898,33.35,0.417753355,28.7,0.5054006
37,0.456035975,35.75,0.545676083,33.6,0.417344715,29.1,0.505130806
37,0.455532582,35.95,0.545223269,33.6,0.416813482,29.4,0.504783929
37.1,0.455029188,36.15,0.544840118,33.9,0.416363977,29.75,0.504475593
37.25,0.454564517,36.35,0.544422136,34.15,0.415873608,30,0.504282883
37.3,0.454099846,36.25,0.54393449,34.3,0.415383239,30.25,0.503936006
37.4,0.453635175,36.55,0.543516507,34.4,0.414892871,30.6,0.50362767
37.5,0.453170504,36.65,0.543063693,34.7,0.414361638,30.75,0.503357877
37.6,0.452705832,36.85,0.542610879,34.6,0.413912133,31.1,0.503049541
37.7,0.452241161,36.95,0.542192896,34.85,0.413421764,31,0.502779747
37.9,0.451311819,36.95,0.541774914,34.7,0.412931395,31.25,0.502471412
37.75,0.450847148,37.15,0.5413221,35.1,0.412441027,31.5,0.502201618
38,0.4504212,37.3,0.540904117,35.25,0.411950658,31.8,0.501893282
38.05,0.449917806,37.3,0.540486135,35.4,0.411501153,32,0.501623489
38.1,0.449453135,35.15,0.540068152,35.5,0.411010784,32.05,0.501392237
38.15,0.449027186,36.45,0.539615338,35.55,0.41056128,32.25,0.50104536
38.25,0.448562515,37.25,0.539197355,35.8,0.410111775,32.45,0.500775566
38.3,0.448097844,37.4,0.538709709,35.85,0.409621406,32.75,0.50046723
38.35,0.447633173,37.45,0.538291727,35.95,0.409131037,32.95,0.500158895
38.4,0.447207224,37.6,0.537908576,36.2,0.408681532,33.1,0.499927643
38.4,0.446819998,37.65,0.537455762,36.35,0.408232028,33.3,0.499580765
38.6,0.446316605,37.8,0.537037779,36.45,0.407741659,33.4,0.499426598
38.65,0.445851934,37.95,0.536619797,36.55,0.407333018,33.55,0.499041178
38.7,0.445425985,38,0.536236646,36.7,0.406842649,32.25,0.498732842
38.75,0.444961314,38.1,0.535783832,36.8,0.406393145,33.1,0.498424507
38.8,0.444535365,38.2,0.535435513,36.9,0.405984504,33.25,0.498154713
38.9,0.444148139,38.1,0.534982699,37.05,0.405494135,33.6,0.497846378
38.95,0.443644746,38.3,0.534564717,37,0.405044631,33.8,0.497576584
39,0.44325752,38.4,0.534181566,37.15,0.40463599,33.95,0.49730679
39,0.442792849,38.05,0.533798415,37.25,0.404145621,33.95,0.496959913
39.05,0.4423669,38.4,0.533345601,36.75,0.403777844,34.25,0.496613035
39.1,0.441979674,38.4,0.532962451,37.3,0.403246612,34.35,0.496343242
39.2,0.441553726,38.5,0.532544468,37.4,0.402797107,34.55,0.495957822
39.3,0.441050332,38.6,0.532161318,37.45,0.40242933,34.65,0.495572403
39.3,0.440663106,38.65,0.531708503,37.6,0.401938961,34.55,0.495302609
39.4,0.440198435,38.8,0.531290521,37.65,0.401530321,34.85,0.494917189
39.45,0.439811209,38.9,0.530942202,37.75,0.40112168,35,0.494608854
39.5,0.439385261,39,0.53052422,37.85,0.400672175,35.05,0.494261976
39.65,0.438959312,39,0.530141069,37.95,0.400222671,34.7,0.493915099
39.65,0.438533364,39.1,0.529688255,38,0.39981403,35.2,0.493645305
39.65,0.438107415,39.2,0.529305104,38.1,0.399364525,35.2,0.493336969
