h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
51.8,0.332278569,49.5,0.432159017,50.35,0.29209635,43.35,0.423421871
51.85,0.33185262,49.55,0.431706203,50.5,0.291524253,43.35,0.423113535
51.9,0.331349227,49.6,0.431253389,50.5,0.291033884,43.4,0.420993728
52,0.330884556,49.6,0.430800574,50.5,0.290461787,43.5,0.422496864
52.05,0.330381162,49.65,0.43034776,50.6,0.289930554,43.5,0.422149986
52.1,0.329916491,49.7,0.429894946,50.65,0.289440185,43.5,0.421841651
52.25,0.32945182,49.75,0.4294073,50.7,0.288908953,43.5,0.421571857
52.3,0.328948426,49.8,0.428954485,50.7,0.288418584,43.55,0.421340605
52.3,0.328483755,49.85,0.428571335,50.75,0.288009943,43.6,0.420955186
52.45,0.327980361,49.9,0.428048857,50.85,0.287396982,43.6,0.420608308
52.45,0.32751569,49.95,0.427596042,50.85,0.286865749,43.65,0.420338515
52.55,0.327012296,50,0.427143228,50.9,0.286416244,43.65,0.420107263
52.65,0.326547625,50,0.426725246,50.9,0.285885012,43.7,0.41787183
52.65,0.326082954,50.05,0.426272431,51,0.285353779,43.7,0.419529134
52.7,0.32557956,50.05,0.425784785,51,0.28486341,43.75,0.417332243
52.8,0.325076167,50.15,0.425366803,51.05,0.284332177,43.8,0.418989546
52.8,0.324650218,50.25,0.424913988,51.05,0.283841808,43.8,0.416869739
52.9,0.324185547,50.25,0.424461174,51.15,0.283351439,43.8,0.418372875
53,0.323643431,50.3,0.424043192,51.2,0.282820207,43.8,0.41806454
53.05,0.32317876,50.35,0.423590377,51.25,0.282329838,43.85,0.417794746
53.15,0.322752811,50.4,0.423102731,51.3,0.281839469,43.85,0.415713481
53.15,0.322249417,50.45,0.422649917,51.3,0.2813491,43.85,0.417178075
53.25,0.321823469,50.5,0.422266766,51.35,0.280817867,43.9,0.416946823
53.35,0.32139752,50.5,0.42177912,51.4,0.280368363,43.95,0.416561404
53.35,0.320894127,50.6,0.421361137,51.5,0.279877994,43.95,0.416330152
53.45,0.320390733,50.6,0.420873491,51.5,0.279346761,44,0.416021816
53.5,0.320003507,50.6,0.420490341,51.5,0.278856392,44,0.415752023
53.55,0.319538836,50.7,0.420002695,51.5,0.278325159,44,0.415482229
53.65,0.319035442,50.75,0.419584712,51.6,0.277875654,44,0.415173893
53.7,0.318570771,50.8,0.419131898,51.6,0.277385286,44.1,0.414981184
53.7,0.318144822,50.85,0.418679083,51.65,0.276854053,44.1,0.414634306
53.8,0.317680151,50.9,0.418261101,51.75,0.276404548,44.15,0.414364512
53.9,0.31721548,50.95,0.417390304,51.8,0.275873315,44.15,0.414017635
53.95,0.316828254,51.05,0.41693749,51.85,0.27542381,44.15,0.413824925
54.05,0.316286138,51.05,0.416484676,51.9,0.274933442,44.2,0.413555131
54.1,0.31586019,51.1,0.416101525,51.9,0.274443073,44.25,0.413285338
54.15,0.315434241,51.1,0.415718374,51.95,0.273993568,44.3,0.41293846
54.2,0.314892125,51.2,0.41526556,51.95,0.273503199,44.3,0.412668666
54.25,0.314504899,51.2,0.414812746,51.95,0.273012831,44.3,0.410548859
54.3,0.314117673,51.3,0.414359932,52,0.272522462,44.35,0.412206163
54.35,0.313653002,51.3,0.413941949,52,0.272032093,44.35,0.411936369
54.4,0.313188331,51.35,0.413523967,52.1,0.271541724,44.35,0.411628034
54.45,0.312762382,51.4,0.413105984,52.15,0.271051355,44.35,0.41135824
54.55,0.312258988,51.45,0.412722834,52.2,0.270601851,44.35,0.411126988
54.6,0.311871762,51.45,0.412270019,52.25,0.270111482,44.45,0.410857195
54.65,0.311445814,51.55,0.411852037,52.25,0.269661977,44.5,0.410548859
54.75,0.310981143,51.55,0.411434054,52.35,0.269212472,44.55,0.410317607
54.75,0.310555194,51.6,0.411016072,52.4,0.268722104,44.55,0.410047814
54.8,0.310167968,51.65,0.41059809,52.4,0.268272599,44.55,0.40977802
54.95,0.309703297,51.65,0.410214939,52.4,0.26778223,44.55,0.409546768
55,0.309277349,51.65,0.409762125,52.45,0.267332725,44.6,0.407388419
55.05,0.3088514,51.8,0.409344142,52.55,0.266883221,44.6,0.409007181
55.1,0.308386729,51.8,0.40892616,52.55,0.266392852,44.65,0.408737388
55.1,0.307922058,51.9,0.408577841,52.55,0.265943347,44.7,0.408467594
55.2,0.307612277,51.95,0.408159859,52.55,0.265493842,44.7,0.408313426
55.3,0.307147606,51.95,0.407741876,52.65,0.265044338,44.75,0.408043632
55.35,0.30676038,51.95,0.407358726,52.7,0.264594833,44.8,0.407773839
55.35,0.306373154,52,0.406905911,52.75,0.264145328,44.8,0.407465503
55.45,0.305869761,52.05,0.406522761,52.75,0.263654959,44.8,0.407234251
55.55,0.305521257,52.1,0.40613961,52.8,0.263246319,44.8,0.407041542
55.55,0.305095309,52.15,0.40575646,52.9,0.26275595,44.85,0.40681029
55.6,0.30466936,52.15,0.405303645,52.9,0.262347309,44.9,0.406501954
55.6,0.304320857,52.2,0.404955326,52.95,0.261897804,44.9,0.406270703
55.6,0.303894908,52.25,0.404572176,52.95,0.261489164,44.95,0.406039451
55.75,0.303507682,52.3,0.404189025,52.95,0.260998795,44.95,0.405769657
55.75,0.303120456,52.35,0.403805875,53,0.260590154,45,0.40561549
55.8,0.302733231,52.4,0.403422724,53.05,0.260140649,45,0.405345696
55.85,0.302346005,52.4,0.403004742,53.1,0.259732009,45.05,0.405075902
55.85,0.301997501,52.45,0.402691255,53.2,0.259282504,45.05,0.40484465
55.9,0.301610275,52.5,0.402273272,53.25,0.258873863,45.1,0.404574857
56,0.301223049,52.5,0.401890122,53.3,0.258465223,45.1,0.404343605
56,0.300913269,52.55,0.401541803,53.3,0.258015718,45.15,0.404073811
56.1,0.300526043,52.6,0.401158653,53.3,0.257647941,45.25,0.40384256
56.1,0.300177539,52.7,0.400845166,53.35,0.257198437,45.25,0.403534224
56.1,0.299829036,52.7,0.400496847,53.4,0.25683066,45.25,0.402570675
56.2,0.299480533,52.75,0.400113696,53.4,0.256422019,45.25,0.403071721
56.25,0.299093307,52.8,0.399765378,53.45,0.256054243,45.3,0.402801927
56.2,0.298783526,52.85,0.399417059,53.5,0.255645602,45.4,0.402532133
56.3,0.298435023,52.85,0.399103572,53.6,0.255236961,45.35,0.40226234
56.2,0.298086519,52.9,0.398720422,53.6,0.254869185,45.35,0.40206963
56.3,0.297699293,52.95,0.398372103,53.6,0.254460544,45.35,0.401761294
56.3,0.297389513,53,0.398058616,53.65,0.254133632,45.35,0.401530043
56.35,0.297041009,53.05,0.397710297,53.75,0.253765855,45.35,0.399256068
56.35,0.296731229,53.05,0.397361979,53.75,0.253357214,45.4,0.401067539
56.4,0.296382725,53.1,0.39701366,53.75,0.252989438,45.4,0.400759204
56.4,0.295956777,53.1,0.396735005,53.75,0.252621661,45.4,0.400527952
56.5,0.295608273,53.25,0.396386686,53.9,0.252294749,45.4,0.398523771
56.5,0.29525977,53.25,0.3960732,53.9,0.251886108,45.45,0.400026907
56.6,0.294872544,53.25,0.395759713,54,0.251518331,45.45,0.399795655
56.6,0.294524041,53.35,0.395411394,54,0.251150555,45.4,0.399564403
56.65,0.294136815,53.35,0.395097907,54,0.250782778,45.45,0.39929461
56.7,0.293710866,53.35,0.394749588,54,0.250455866,45.45,0.399024816
56.8,0.293362363,53.35,0.394470933,54.1,0.250128953,45.45,0.398755022
56.85,0.292975137,53.45,0.394122615,54.05,0.249720312,45.5,0.398485229
56.9,0.292665356,53.4,0.393774296,54.1,0.249311672,45.5,0.398215435
56.9,0.292278131,53.45,0.393425977,54.1,0.248943895,45.5,0.397945641
56.95,0.291890905,53.5,0.393042827,54.1,0.24849439,45.55,0.397675848
57,0.291581124,53.5,0.392694508,54.1,0.248126614,45.55,0.397367512
57.1,0.290767949,53.55,0.392346189,54.15,0.247717973,45.6,0.396403963
57.15,0.290419446,53.55,0.391997871,54.2,0.247350197,45.6,0.396789383
57.2,0.29003222,53.65,0.39161472,54.25,0.246900692,45.65,0.396558131
57.2,0.289683717,53.7,0.391301233,54.25,0.246573779,45.65,0.396249795
57.3,0.289296491,53.75,0.390952915,54.3,0.246165139,45.75,0.395980002
57.4,0.288870542,53.75,0.390639428,54.35,0.245797362,45.75,0.395710208
57.4,0.288522039,53.8,0.390256277,54.45,0.245388721,45.75,0.395478956
57.5,0.288134813,53.8,0.389907958,54.45,0.244980081,45.75,0.393127897
57.55,0.28778631,53.9,0.38955964,54.55,0.24457144,45.8,0.394900827
57.6,0.287360361,53.95,0.389176489,54.5,0.244203663,45.8,0.393860195
57.65,0.287011858,54,0.38882817,54.55,0.243795023,45.85,0.394322698
57.7,0.286663355,54,0.388514684,54.6,0.243427246,45.85,0.394091446
57.7,0.286276129,54,0.388131533,54.65,0.243018605,45.85,0.393089356
57.8,0.28585018,54.05,0.387783214,54.65,0.242609965,45.9,0.393474775
57.85,0.285462954,54.15,0.387434896,54.7,0.242201324,45.9,0.393282065
57.9,0.285114451,54.15,0.387086577,54.75,0.241833548,45.9,0.393012272
57.95,0.284765947,54.2,0.386703426,54.8,0.241384043,45.9,0.392742478
58,0.284339999,54.25,0.386355108,54.8,0.240975402,45.95,0.392434142
58,0.283991496,54.25,0.385971957,54.9,0.240566761,45.95,0.392202891
58.1,0.28360427,54.3,0.385623638,54.85,0.240198985,45.95,0.391933097
58.2,0.283217044,54.3,0.385310152,54.9,0.239790344,46.05,0.391740387
58.25,0.282829818,54.4,0.384927001,54.95,0.239381704,46.05,0.389582038
58.3,0.282442592,54.45,0.38454385,55,0.239013927,46.1,0.391123716
58.3,0.282016643,54.45,0.384230364,55.05,0.238605286,46.1,0.390931006
58.4,0.281706863,54.45,0.383847213,55.1,0.238155782,46.15,0.388734115
58.45,0.281319637,54.6,0.383533726,55.1,0.237788005,46.15,0.390314335
58.5,0.280932411,54.65,0.383150576,55.2,0.237379364,46.15,0.390121625
58.55,0.280545185,54.65,0.382767425,55.2,0.237011588,46.2,0.389851832
58.65,0.280157959,54.7,0.382453938,55.2,0.236562083,46.2,0.38962058
58.65,0.279770733,54.75,0.382070788,55.25,0.236194306,46.3,0.389350786
58.75,0.27942223,54.75,0.381722469,55.35,0.235785666,46.3,0.388387238
58.8,0.279035004,54.8,0.381339318,55.35,0.235417889,46.3,0.388811199
58.8,0.278647778,54.85,0.380991,55.4,0.23492752,46.3,0.388541405
58.9,0.278260552,54.9,0.380642681,55.5,0.234559744,46.3,0.387539315
58.95,0.277873326,54.9,0.380224698,55.5,0.234151103,46.35,0.38804036
59.05,0.2774861,55,0.379946043,55.55,0.233783326,46.35,0.387809108
59.1,0.277098874,55.05,0.379562893,55.55,0.233374686,46.4,0.385573675
59.15,0.276711648,55.05,0.379249406,55.6,0.232966045,46.4,0.387269521
59.25,0.276246977,55.1,0.378831424,55.6,0.232557404,46.4,0.386999727
59.3,0.275859751,55.15,0.378483105,55.65,0.232148764,46.4,0.384995546
59.4,0.275511248,55.2,0.378134786,55.75,0.231740123,46.4,0.386498682
59.45,0.275124022,55.25,0.377786467,55.75,0.231372346,46.4,0.38626743
59.55,0.274659351,55.3,0.377403317,55.85,0.230922842,46.5,0.385997637
59.6,0.274310847,55.3,0.377020166,55.95,0.230514201,46.5,0.383916371
59.65,0.273884899,55.35,0.376602184,55.95,0.230064696,46.6,0.385496591
59.7,0.273497673,55.4,0.376253865,55.95,0.229615192,46.55,0.385303881
59.8,0.273071724,55.45,0.375905546,55.95,0.229206551,46.6,0.384224707
59.9,0.272723221,55.55,0.375557228,56.1,0.22879791,46.6,0.384802836
59.95,0.272297273,55.55,0.375139245,56.05,0.228348405,46.6,0.382798655
60,0.271871324,55.6,0.374790927,56.15,0.227939765,46.6,0.384263249
60.05,0.271561543,55.7,0.374372944,56.2,0.227408532,46.65,0.384031997
60.15,0.271174317,55.7,0.374024625,56.2,0.227081619,46.7,0.383839287
60.2,0.270709646,55.75,0.373641475,56.3,0.226672979,46.7,0.381603854
60.3,0.27032242,55.8,0.373293156,56.35,0.226264338,46.7,0.383376784
60.3,0.269935194,55.85,0.372875174,56.35,0.225814833,46.8,0.383068448
60.45,0.269547969,55.85,0.372526855,56.4,0.225365329,46.8,0.380871557
60.5,0.269199465,55.9,0.372178536,56.5,0.224956688,46.8,0.382644487
60.55,0.268734794,55.95,0.371760554,56.5,0.224507183,46.8,0.382336151
60.65,0.268386291,56.05,0.371377403,56.55,0.224139407,46.8,0.3821049
60.7,0.268037787,56.05,0.371029085,56.55,0.223689902,46.85,0.381141351
60.75,0.267611839,56.1,0.370645934,56.6,0.223281261,46.8,0.381642396
60.85,0.267263336,56.15,0.370262783,56.65,0.222872621,46.9,0.380640305
60.9,0.26687611,56.25,0.369949297,56.7,0.222423116,46.9,0.381179893
60.95,0.266450161,56.25,0.369566146,56.8,0.222055339,46.9,0.380948641
61.05,0.26614038,56.3,0.369182995,56.85,0.221605834,46.9,0.380717389
61.1,0.265753154,56.35,0.368834677,56.85,0.22115633,47,0.380447596
61.15,0.265404651,56.4,0.368416694,56.95,0.220829417,46.95,0.37836633
61.15,0.265017425,56.45,0.368103207,56.95,0.220379912,47,0.37994655
61.25,0.264668922,56.5,0.367754889,57,0.219971272,47.05,0.379715299
61.35,0.264320418,56.55,0.367371738,57,0.219562631,47.1,0.37875175
61.35,0.263933193,56.6,0.366988588,57.1,0.21915399,47.1,0.379214253
61.45,0.263545967,56.65,0.366675101,57.2,0.21874535,47.1,0.379021543
61.45,0.263274908,56.7,0.36629195,57.25,0.218377573,47.1,0.378790292
61.55,0.262926405,56.75,0.365943632,57.35,0.218009797,47.15,0.378481956
61.6,0.262539179,56.75,0.365595313,57.35,0.217560292,47.15,0.377479865
61.7,0.262306844,56.85,0.365316658,57.35,0.217192515,47.2,0.378057995
61.75,0.261997063,56.85,0.364933507,57.35,0.216824739,47.25,0.375899645
61.8,0.261687282,56.85,0.364585189,57.45,0.216416098,47.25,0.377634033
61.8,0.261377501,56.9,0.36423687,57.45,0.216048321,47.3,0.37736424
61.85,0.260990276,56.95,0.363958215,57.55,0.215680545,47.3,0.376323607
62,0.260680495,57,0.363644728,57.55,0.215312768,47.3,0.376940278
62,0.260331991,57.05,0.363331241,57.6,0.214904128,47.35,0.374781929
62.05,0.260022211,57.05,0.362982923,57.7,0.214577215,47.35,0.376439233
62.15,0.25971243,57.15,0.362669436,57.7,0.214250302,47.35,0.374242342
62.2,0.259363927,57.15,0.362390781,57.7,0.21392339,47.45,0.376015271
62.2,0.259015423,57.2,0.362042462,57.7,0.213514749,47.45,0.375706936
62.3,0.258705643,57.25,0.361763807,57.75,0.213187837,47.45,0.375475684
62.35,0.258395862,57.3,0.361485152,57.85,0.212901788,47.45,0.375282974
62.4,0.258086081,57.35,0.361136833,57.75,0.212574876,47.45,0.375013181
62.45,0.257698855,57.35,0.360788515,57.9,0.212166235,47.45,0.374820471
62.5,0.257350352,57.35,0.36050986,57.9,0.211798458,47.55,0.374589219
62.6,0.257040571,57.45,0.360231205,57.95,0.211471546,47.6,0.374319426
62.65,0.25673079,57.45,0.359917718,58.05,0.211103769,47.6,0.373432961
62.7,0.256343564,57.45,0.359604231,58.1,0.210735993,47.6,0.373972548
62.85,0.256033784,57.55,0.359290744,58.1,0.21040908,47.6,0.373741296
62.85,0.25568528,57.6,0.358977257,58.1,0.210082168,47.6,0.373548586
62.9,0.255336777,57.65,0.358663771,58.2,0.209714391,47.7,0.373355877
62.95,0.255026996,57.7,0.358350284,58.25,0.20930575,47.75,0.373086083
63,0.254678493,57.75,0.358036797,58.3,0.208978838,47.75,0.372931915
63.1,0.254368712,57.75,0.357688478,58.35,0.208611061,47.8,0.372700664
63.15,0.254020209,57.85,0.357374991,58.35,0.208243285,47.8,0.372469412
63.25,0.253671705,57.85,0.357096336,58.4,0.207916372,47.85,0.37223816
63.3,0.253323202,57.85,0.356748018,58.45,0.207548595,47.9,0.37204545
63.4,0.253052144,57.95,0.356469363,58.45,0.207180819,47.9,0.371852741
63.45,0.252664918,58,0.356155876,58.55,0.206813042,47.9,0.371621489
63.5,0.25239386,58.05,0.355772725,58.6,0.20648613,48,0.371390237
63.6,0.252045357,58.1,0.355459238,58.65,0.206118353,48,0.371197527
63.7,0.251658131,58.15,0.355215415,58.75,0.205750577,48,0.371081902
63.7,0.25134835,58.2,0.354901929,58.75,0.2053828,48.05,0.37085065
63.8,0.250999847,58.25,0.35455361,58.8,0.205055887,48.05,0.37065794
63.9,0.250690066,58.3,0.354240123,58.8,0.204647247,48.05,0.370426688
63.9,0.250341562,58.35,0.353926636,58.8,0.204320334,48.1,0.370311063
64,0.250070504,58.4,0.353578317,58.95,0.203952558,48.1,0.370041269
64.1,0.249683278,58.45,0.353264831,58.95,0.203543917,48.15,0.369848559
64.15,0.249373498,58.45,0.352951344,59.05,0.203217004,48.15,0.367805836
64.2,0.248986272,58.5,0.352603025,59.1,0.202849228,48.15,0.36946314
64.3,0.248676491,58.5,0.352289538,59.15,0.202481451,48.15,0.36927043
64.3,0.24836671,58.6,0.352010883,59.2,0.202154539,48.15,0.36907772
64.4,0.248018207,58.65,0.351697396,59.2,0.201786762,48.15,0.368923552
64.5,0.247669704,58.7,0.35138391,59.25,0.201418985,48.2,0.368730843
64.55,0.2473212,58.8,0.351070423,59.3,0.201092073,48.25,0.368499591
64.6,0.246972697,58.8,0.350791768,59.35,0.200724296,48.3,0.368345423
64.7,0.246585471,58.85,0.350478281,59.4,0.20035652,48.35,0.368152713
64.8,0.246236968,58.9,0.350129962,59.45,0.200029607,48.35,0.367960004
64.85,0.245849742,58.95,0.349781644,59.6,0.199661831,48.35,0.367728752
64.95,0.245501238,59,0.349502989,59.6,0.199294054,48.35,0.367574584
65.1,0.245152735,59.1,0.34915467,59.65,0.198967141,48.4,0.367381874
65.1,0.244842954,59.15,0.348841183,59.7,0.198558501,48.45,0.367189165
65.2,0.244455728,59.2,0.348492864,59.75,0.198190724,48.5,0.366996455
65.3,0.244145948,59.25,0.348144546,59.75,0.197822948,48.5,0.366765203
65.35,0.243797444,59.35,0.347831059,59.85,0.197373443,48.5,0.366611035
65.4,0.243448941,59.35,0.34748274,59.9,0.197005666,48.55,0.366418326
65.5,0.24313916,59.4,0.347204085,60,0.19663789,48.55,0.366187074
65.5,0.242790657,59.45,0.346820935,60,0.196270113,48.55,0.365955822
65.6,0.242403431,59.5,0.346472616,60,0.195902336,48.6,0.365030815
65.7,0.242054928,59.55,0.346124297,60.05,0.19553456,48.65,0.365608945
65.75,0.241745147,59.65,0.34581081,60.15,0.195125919,48.6,0.365377693
65.9,0.241396644,59.7,0.345497324,60.2,0.194799007,48.6,0.365146441
65.95,0.241125585,59.75,0.345218669,60.25,0.19443123,48.6,0.364953731
66,0.240738359,59.8,0.34487035,60.35,0.194063453,48.65,0.36472248
66.1,0.240428579,59.8,0.344556863,60.35,0.193654813,48.7,0.364568312
66.15,0.240080075,59.9,0.344173712,60.4,0.193287036,48.7,0.363566221
66.25,0.239692849,59.9,0.343929889,60.45,0.192960124,48.75,0.364067267
66.35,0.239344346,60,0.343581571,60.5,0.192592347,48.75,0.363836015
66.45,0.23895712,60,0.343233252,60.6,0.192183706,48.75,0.363643305
66.55,0.238647339,60.1,0.342919765,60.65,0.191856794,48.8,0.363412053
66.65,0.238337559,60.15,0.342571446,60.65,0.191448153,48.8,0.363219344
66.7,0.23791161,60.2,0.34225796,60.7,0.191121241,48.8,0.36294955
66.8,0.237485662,60.25,0.341944473,60.8,0.1907126,48.85,0.362718298
66.9,0.237175881,60.3,0.341665818,60.85,0.190385687,48.85,0.362525589
67,0.236788655,60.35,0.341317499,60.9,0.189977047,48.85,0.360328697
67.05,0.236440152,60.4,0.34096918,61,0.189650134,48.85,0.362063085
67.15,0.236014203,60.45,0.340655694,61.05,0.189241494,48.9,0.361793292
67.3,0.235704422,60.55,0.340272543,61.1,0.188873717,48.9,0.361600582
67.3,0.235239751,60.6,0.339924224,61.15,0.188465076,48.9,0.359403691
67.45,0.234929971,60.7,0.339610737,61.25,0.188056436,48.95,0.361099536
67.55,0.234542745,60.75,0.339227587,61.3,0.187647795,48.95,0.360906827
67.65,0.234194241,60.8,0.3389141,61.4,0.187320882,49,0.360637033
67.75,0.233845738,60.9,0.338530949,61.45,0.186912242,49.05,0.360444323
67.85,0.233458512,60.95,0.338182631,61.5,0.186421873,49.05,0.358285974
67.95,0.233110009,61,0.337834312,61.55,0.18609496,49.05,0.359943278
68.05,0.232722783,61.05,0.337520825,61.6,0.18568632,49.1,0.359750568
68.15,0.232335557,61.1,0.337137675,61.7,0.185277679,49.1,0.359519316
68.25,0.231948331,61.2,0.336754524,61.8,0.184869038,49.15,0.359249523
68.35,0.231599828,61.25,0.336406205,61.85,0.184460398,49.2,0.359056813
68.4,0.231290047,61.3,0.336057887,61.85,0.184092621,49.2,0.358787019
68.5,0.230864098,61.4,0.3357444,61.95,0.183643116,49.25,0.358517226
68.6,0.230554318,61.45,0.335361249,62.05,0.18327534,49.2,0.358324516
68.7,0.230205814,61.55,0.335047762,62.1,0.182866699,49.25,0.358054722
68.8,0.229818588,61.6,0.334664612,62.15,0.182498922,49.35,0.357823471
68.95,0.229508808,61.65,0.334316293,62.25,0.182049418,49.3,0.357630761
69,0.229160304,61.7,0.333933143,62.25,0.181640777,49.35,0.357399509
69.15,0.228773078,61.75,0.333619656,62.35,0.181232136,49.35,0.357206799
69.2,0.22850202,61.8,0.333306169,62.45,0.180905224,49.35,0.356937006
69.35,0.228076072,61.85,0.332992682,62.45,0.180496583,49.4,0.356744296
69.4,0.227805013,61.95,0.332679195,62.55,0.180169671,49.45,0.356513044
69.5,0.227417788,62,0.332330876,62.6,0.17976103,49.5,0.356243251
69.6,0.227108007,62.05,0.331982558,62.65,0.179393253,49.5,0.356050541
69.7,0.226720781,62.1,0.331634239,62.7,0.178984613,49.55,0.355780747
69.8,0.226449723,62.15,0.331320752,62.8,0.178616836,49.55,0.355510954
69.9,0.226101219,62.25,0.331007265,62.8,0.17824906,49.55,0.353352604
70,0.225713993,62.35,0.330658947,62.9,0.177881283,49.6,0.355086992
70.1,0.225404213,62.35,0.330310628,62.95,0.177513506,49.65,0.354046359
70.2,0.224978264,62.45,0.330031973,63.05,0.17714573,49.65,0.354547405
70.35,0.224629761,62.5,0.329683654,63.1,0.176696225,49.7,0.354354695
70.4,0.224397425,62.55,0.329335336,63.2,0.176369312,49.7,0.352119262
70.55,0.223971477,62.65,0.329021849,63.2,0.176001536,49.7,0.35385365
70.6,0.223661696,62.65,0.328708362,63.3,0.175592895,49.75,0.351656758
70.7,0.223351915,62.75,0.328394875,63.35,0.175265983,49.75,0.353391146
70.85,0.223003412,62.75,0.328011725,63.4,0.174857342,49.75,0.351232797
70.9,0.222654909,62.85,0.327663406,63.5,0.174571294,49.85,0.352890101
71.05,0.222267683,62.9,0.327384751,63.6,0.174162653,49.9,0.350654668
71.2,0.221957902,63,0.327071264,63.65,0.173713148,49.9,0.352389056
71.25,0.221609399,63.1,0.326757777,63.65,0.173345372,49.9,0.350192164
71.35,0.221260895,63.15,0.326374627,63.75,0.173018459,49.9,0.351926552
71.5,0.220989837,63.2,0.326095972,63.85,0.172691546,49.95,0.349806745
71.55,0.220602611,63.3,0.325747653,63.85,0.172282906,49.9,0.351464049
71.75,0.220331553,63.3,0.325434166,64.05,0.171915129,50,0.351271339
71.85,0.219866882,63.4,0.325120679,64.05,0.171547353,50,0.34911299
71.95,0.219518379,63.45,0.324807192,64.05,0.17122044,50.05,0.350731752
72.1,0.219169875,63.5,0.324458874,64.15,0.170811799,50.05,0.350539042
72.2,0.218821372,63.55,0.324180219,64.2,0.170484887,50.1,0.35030779
72.3,0.218511591,63.6,0.323797068,64.35,0.170076246,50.15,0.350076538
72.4,0.218124365,63.7,0.323518413,64.4,0.169626741,50.15,0.347918189
72.6,0.217775862,63.75,0.323204926,64.45,0.169340693,50.2,0.349652577
72.65,0.217349913,63.8,0.322821776,64.5,0.168932052,50.2,0.347455686
72.75,0.217040133,63.95,0.322508289,64.55,0.168564276,50.2,0.34911299
72.95,0.216691629,63.95,0.322194802,64.7,0.168237363,50.25,0.346993182
73.05,0.216381849,64.05,0.321846483,64.8,0.167787858,50.25,0.348650486
73.15,0.216072068,64.15,0.321463333,64.85,0.167379218,50.35,0.346492137
73.3,0.215723565,64.25,0.32121951,64.9,0.167052305,50.35,0.348187983
73.4,0.215375061,64.25,0.320871191,65,0.166643665,50.4,0.347995273
73.5,0.21506528,64.35,0.320488041,65.05,0.166275888,50.4,0.345836924
73.6,0.214639332,64.45,0.320174554,65.1,0.165908111,50.4,0.34753277
73.7,0.214290829,64.5,0.319826235,65.2,0.165499471,50.4,0.347262976
73.85,0.21401977,64.55,0.319477916,65.35,0.165131694,50.45,0.345066085
74,0.213632545,64.6,0.319129598,65.45,0.164763917,50.5,0.346800473
74.1,0.213322764,64.75,0.318850943,65.45,0.164396141,50.5,0.344680665
74.25,0.213012983,64.8,0.318467792,65.55,0.164028364,50.5,0.346376511
74.3,0.212625757,64.85,0.318189137,65.55,0.16357886,50.5,0.34614526
74.45,0.212277254,64.95,0.317840818,65.65,0.163251947,50.55,0.343948368
74.55,0.211967473,65,0.317562163,65.75,0.16288417,50.6,0.345682756
74.7,0.211657692,65.1,0.317179013,65.85,0.16247553,50.6,0.343524407
74.8,0.211347912,65.1,0.316900358,65.9,0.162107753,50.65,0.345220253
74.95,0.211038131,65.2,0.316552039,65.95,0.161780841,50.7,0.344295246
75.1,0.210650905,65.3,0.316238552,66.05,0.161413064,50.7,0.344796291
75.2,0.210341124,65.4,0.315890234,66.15,0.161004423,50.7,0.3425994
75.3,0.210031343,65.4,0.315576747,66.3,0.160677511,50.75,0.344333788
75.4,0.209644117,65.5,0.315298092,66.3,0.16026887,50.8,0.342175439
75.5,0.209411782,65.6,0.315019437,66.4,0.159901094,50.85,0.343948368
75.65,0.209063279,65.7,0.314636286,66.4,0.159574181,50.9,0.341828561
75.75,0.208753498,65.75,0.314322799,66.5,0.159247268,50.9,0.341558767
75.9,0.208443717,65.8,0.314009313,66.6,0.158838628,50.95,0.343293155
76.05,0.208095214,65.9,0.313695826,66.65,0.158470851,50.95,0.341096264
76.15,0.207785433,65.95,0.313417171,66.75,0.158143939,50.95,0.342869194
76.25,0.207553097,66,0.313138516,66.8,0.157776162,51,0.340710844
76.4,0.207165872,66.1,0.312825029,66.95,0.157490114,51,0.342483774
76.5,0.206817368,66.2,0.31247671,67,0.157081473,51.1,0.341558767
76.65,0.20654631,66.25,0.312198055,67.1,0.156713696,51.15,0.342059813
76.8,0.206159084,66.35,0.311849737,67.2,0.156386784,51.15,0.341134806
76.9,0.205849303,66.45,0.311571082,67.25,0.156059871,51.15,0.341712935
77,0.205616968,66.5,0.311292427,67.3,0.155651231,51.2,0.339516044
77.2,0.205268464,66.55,0.310944108,67.35,0.155324318,51.3,0.341250432
77.25,0.204958684,66.65,0.310665453,67.5,0.154997406,51.3,0.34101918
77.45,0.204648903,66.75,0.310351966,67.6,0.154629629,51.3,0.338899373
77.5,0.204377845,66.8,0.310073311,67.65,0.154261852,51.3,0.340672303
77.65,0.204029341,66.9,0.309759824,67.75,0.15393494,51.35,0.338552495
77.8,0.203797006,66.95,0.309446338,67.75,0.153608027,51.35,0.340248341
77.95,0.20340978,67.05,0.309132851,67.9,0.153240251,51.35,0.339323334
78.05,0.203177444,67.05,0.308819364,68,0.152954202,51.45,0.339940005
78.2,0.202790219,67.15,0.308575541,68.1,0.152545562,51.45,0.337781656
78.35,0.20251916,67.25,0.308262054,68.15,0.152218649,51.45,0.339477502
78.45,0.20220938,67.35,0.307948567,68.2,0.151891736,51.5,0.337357695
78.6,0.201899599,67.45,0.30763508,68.25,0.151483096,51.55,0.339130624
