h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
27.36,0.476783682,37.49,0.456665035,,,31.955,0.436857435,27.695,0.452627988,28.56,0.435790226,36.015,0.43521792,33.475,0.425776164
27.425,0.476631185,37.795,0.456363282,,,32.185,0.4365462,28.01,0.452393688,28.935,0.435515626,36.195,0.435024593,33.685,0.425581443
27.49,0.476364314,38.08,0.456099248,,,32.26,0.436468391,28.065,0.452276538,28.965,0.435319483,36.465,0.4347926,33.875,0.425386723
27.66,0.476173692,38.32,0.455948372,,,32.5,0.436157156,28.34,0.451964139,29.305,0.435084112,36.675,0.434560608,34.065,0.425230946
27.92,0.475906821,38.555,0.455571181,,,32.7,0.43592373,28.375,0.451768889,29.29,0.434966426,36.96,0.434483277,34.275,0.42507517
28.05,0.475601826,38.785,0.455382585,,,32.885,0.435729208,28.625,0.451612689,29.59,0.434652598,37.2,0.434212619,34.45,0.424880449
28.145,0.475487453,39.015,0.455156271,,,33.14,0.435456877,28.93,0.45133934,29.86,0.434456455,37.375,0.434019292,34.66,0.424646784
28.46,0.475182458,39.2,0.454892237,,,33.26,0.435262355,28.97,0.45110504,29.905,0.434181855,37.65,0.433825965,34.855,0.424452063
28.535,0.474991836,39.39,0.454741361,,,33.48,0.435067833,29.31,0.45079264,30.3,0.433907255,37.86,0.433671303,35.03,0.424296287
28.76,0.474763089,39.59,0.454401889,,,33.69,0.434834407,29.375,0.45067549,30.375,0.433711112,38.12,0.433439311,35.215,0.424062622
28.805,0.474648716,39.795,0.454137855,,,33.85,0.434639885,29.565,0.450402141,30.61,0.433436512,38.35,0.433245984,35.415,0.423906846
29.055,0.474381845,39.965,0.453873822,,,34.1,0.434367554,29.855,0.450089741,30.915,0.433240369,38.64,0.433013991,35.605,0.423751069
29.015,0.47407685,40.15,0.453647507,,,34.26,0.43432865,29.98,0.449855442,31.06,0.43292654,38.86,0.432859329,35.79,0.423517404
29.205,0.473809979,40.335,0.453383474,,,34.52,0.43397851,30.12,0.449621142,31.18,0.432730398,39.06,0.432627337,35.945,0.423322684
29.46,0.47346686,40.285,0.453157159,,,34.685,0.433745084,30.375,0.449386842,31.48,0.432495026,39.28,0.43243401,36.115,0.423127963
29.53,0.473352487,40.54,0.453006283,,,34.91,0.433550562,30.62,0.449074442,31.69,0.432181198,39.565,0.432086021,36.295,0.422972187
29.655,0.473085616,40.73,0.452666811,,,35.04,0.43335604,30.68,0.448879193,31.8,0.431945826,39.785,0.431970025,36.495,0.422738522
29.885,0.472818745,40.92,0.452365058,,,35.265,0.433083709,30.8,0.448605843,31.97,0.431749683,39.885,0.431738032,36.675,0.422543801
30.025,0.472589999,41.1,0.452176463,,,35.53,0.432811378,31.035,0.448371543,32.255,0.43155354,40.165,0.43150604,36.855,0.422310136
30.095,0.472323128,41.26,0.451912429,,,35.68,0.432694665,31.255,0.448098194,32.415,0.431239712,40.44,0.431235382,37.015,0.42215436
30.255,0.472018133,41.405,0.451686115,,,35.935,0.432344526,31.355,0.447824844,32.56,0.430886655,40.605,0.431003389,37.19,0.421920695
30.27,0.471789386,41.585,0.451384362,,,36.16,0.432188908,31.435,0.447590544,32.675,0.430768969,40.84,0.430887393,37.37,0.421725974
30.475,0.471446267,41.76,0.451195766,,,36.37,0.431955482,31.675,0.447317195,32.93,0.43045514,41.065,0.43057807,37.52,0.421531254
30.585,0.471217521,41.94,0.450969452,,,36.495,0.431722055,31.9,0.447043845,33.085,0.43018054,41.29,0.430384743,37.675,0.421375477
30.765,0.47095065,42.07,0.450743137,,,36.745,0.43141082,31.985,0.446809545,33.22,0.42990594,41.45,0.430191416,37.825,0.421102868
30.92,0.470760028,42.25,0.450403665,,,36.995,0.431216298,32.145,0.446575246,33.415,0.429709797,41.66,0.429959423,37.98,0.420908148
31.025,0.470416908,,,,,37.145,0.430943967,32.33,0.446301896,33.62,0.429435197,41.89,0.429766096,38.125,0.420752371
31.12,0.470226286,,,,,37.375,0.430710541,32.595,0.445950446,33.805,0.429199826,42.07,0.429495438,38.285,0.420518706
31.295,0.469883167,,,,,37.57,0.43043821,32.69,0.445794247,33.96,0.428885997,42.28,0.429263446,38.44,0.420246098
31.49,0.469616296,,,,,37.785,0.430204784,32.8,0.445481847,34.105,0.428768312,42.505,0.429070119,38.58,0.420090321
31.575,0.469311301,,,,,37.885,0.429932453,32.99,0.445286597,34.35,0.428415254,42.675,0.428876792,38.73,0.419934544
31.725,0.469273176,,,,,38.11,0.429737931,33.26,0.444974198,34.52,0.428179883,42.925,0.428606134,38.89,0.419739824
31.925,0.468891932,,,,,38.305,0.429426696,33.375,0.444778948,34.68,0.427905283,43.135,0.428490137,38.98,0.419506159
31.965,0.468586937,,,,,38.51,0.429232174,33.44,0.444505598,34.81,0.427669912,43.345,0.428142149,39.145,0.419272494
32.205,0.468358191,,,,,38.665,0.428998748,33.665,0.444232248,35.055,0.42743454,43.495,0.427987487,39.295,0.419116718
32.315,0.468053196,,,,,38.87,0.428726417,33.9,0.443958899,35.23,0.427199169,43.705,0.427678164,39.43,0.418921997
32.43,0.467786325,,,,,39.05,0.428531895,34.075,0.443802699,35.41,0.426846111,43.915,0.427523502,39.585,0.418727276
32.61,0.46748133,,,,,39.255,0.42822066,34.19,0.443529349,35.53,0.426767654,44.02,0.427330175,39.73,0.418532556
32.775,0.467176335,,,,,39.4,0.427987233,34.415,0.44321695,35.765,0.426532283,44.21,0.427059517,39.87,0.418337835
32.785,0.466947588,,,,,39.565,0.427714903,34.64,0.44290455,35.945,0.426218454,44.425,0.426788859,40.005,0.418143115
32.79,0.466680718,,,,,39.795,0.427481476,34.85,0.44267025,36.125,0.425904626,44.585,0.426711528,,
32.86,0.466490096,,,,,39.955,0.427209146,34.945,0.442475001,36.25,0.425708483,44.795,0.426402205,,
33.12,0.4661851,,,,,40.17,0.426975719,35.125,0.442201651,36.465,0.425394654,44.975,0.426208878,,
33.29,0.46591823,,,,,40.35,0.426742293,35.395,0.441967351,36.705,0.425159283,45.17,0.426015551,,
33.495,0.465689483,,,,,40.55,0.426547771,35.64,0.441654952,36.91,0.42496314,45.375,0.425744893,,
33.695,0.465422613,,,,,40.69,0.42627544,35.755,0.441498752,37.075,0.424727769,45.49,0.425590231,,
33.94,0.465155742,,,,,40.905,0.426080918,35.92,0.441147302,37.35,0.424453168,45.695,0.425358239,,
34.095,0.464850747,,,,,41.07,0.425808587,36.17,0.440873953,37.55,0.42413934,45.89,0.425087581,,
34.24,0.464583876,,,,,41.27,0.425536257,36.4,0.440639653,37.785,0.423903968,46.095,0.424932919,,
34.32,0.464317005,,,,,41.425,0.425341735,36.54,0.440327253,37.935,0.423629368,46.275,0.424700927,,
34.6,0.46401201,,,,,41.63,0.425108308,36.705,0.440092954,36.74,0.423393997,46.425,0.424391603,,
34.79,0.463707015,,,,,41.8,0.424874882,36.94,0.439819604,37.455,0.423119397,46.59,0.424198276,,
34.915,0.463516393,,,,,41.985,0.424641456,37.2,0.439507204,37.94,0.422805568,46.785,0.423966284,,
35.11,0.463173273,,,,,42.135,0.424408029,37.23,0.439272905,37.51,0.422530968,46.975,0.423734291,,
35.345,0.462906402,,,,,42.32,0.424096794,37.485,0.438999555,37.37,0.42221714,47.11,0.423540964,,
35.49,0.462563283,,,,,42.535,0.423941177,37.695,0.438648105,37.875,0.422020997,47.285,0.423192975,,
35.445,0.462258288,,,,,42.7,0.423629941,37.88,0.438374756,38.185,0.42166794,47.465,0.422960983,,
35.745,0.461953293,,,,,42.9,0.423318706,37.975,0.438140456,38.54,0.42139334,47.615,0.422767656,,
35.995,0.461648297,,,,,43.085,0.423124184,38.215,0.437828056,38.77,0.421197197,47.78,0.422458333,,
36.1,0.461343302,,,,,43.295,0.422851854,38.48,0.437554707,39.065,0.420922597,47.93,0.422342336,,
36.3,0.461038307,,,,,43.43,0.422540618,38.515,0.437359457,39.33,0.420647997,48.1,0.422071678,,
36.52,0.460733312,,,,,43.615,0.422268288,38.755,0.437047057,39.62,0.420373397,48.225,0.42180102,,
36.64,0.460390192,,,,,43.805,0.42211267,39.03,0.436734658,39.875,0.420098797,48.36,0.421569028,,
36.8,0.460161446,,,,,43.995,0.421762531,39.11,0.436539408,40.11,0.419824197,48.55,0.42129837,,
37.005,0.459818326,,,,,44.13,0.4214902,37.765,0.436187958,40.345,0.419588825,48.705,0.421105043,,
36.99,0.459513331,,,,,44.31,0.421295678,36.73,0.435953659,40.455,0.419235768,48.85,0.42087305,,
37.195,0.459322709,,,,,44.47,0.420984443,36.675,0.435680309,40.725,0.418961168,49.03,0.420602393,,
37.47,0.458941465,,,,,44.645,0.420712112,36.605,0.435406959,40.885,0.418765025,49.19,0.4203704,,
37.645,0.458598346,,,,,44.755,0.420439781,36.69,0.43509456,41.105,0.418451197,49.31,0.420099742,,
37.765,0.458369599,,,,,44.965,0.42016745,36.85,0.43486026,41.295,0.418176597,49.485,0.41986775,,
37.975,0.458064604,,,,,45.13,0.419934024,36.89,0.434547861,41.52,0.417901997,49.565,0.419597092,,
38.11,0.457721485,,,,,45.26,0.419622789,37.055,0.434274511,41.72,0.417627397,49.715,0.419403765,,
38.29,0.457454614,,,,,45.42,0.419389363,37.21,0.434001161,41.91,0.417313568,49.805,0.419210438,,
38.245,0.457302116,,,,,45.615,0.419039223,37.46,0.433610662,42.09,0.416999739,50.01,0.418823783,,
38.53,0.456768375,,,,,45.73,0.418844701,37.82,0.433415412,42.275,0.416803597,50.09,0.418707787,,
38.695,0.45646338,,,,,45.92,0.41857237,38.42,0.433142062,42.455,0.416568225,50.28,0.418437129,,
38.925,0.456196509,,,,,46.075,0.418261135,38.76,0.432829663,42.615,0.416332854,50.375,0.418166471,,
39.03,0.455815265,,,,,46.22,0.418105518,39.045,0.432517263,42.81,0.416019025,50.54,0.417934479,,
39.24,0.455586519,,,,,46.35,0.417755378,39.28,0.432282963,42.935,0.415665968,50.645,0.417741152,,
39.435,0.455281523,,,,,,,38.985,0.431970564,43.155,0.415469825,50.79,0.417470494,,
39.615,0.454976528,,,,,,,39.685,0.431736264,43.305,0.415155996,50.915,0.417238501,,
39.625,0.454595284,,,,,,,40.01,0.431462914,43.51,0.414920625,51,0.416967844,,
39.765,0.454290289,,,,,,,40.245,0.431189565,43.7,0.414646025,51.13,0.416851847,,
39.92,0.454061543,,,,,,,40.68,0.430838115,43.89,0.414371425,51.235,0.416503859,,
40.035,0.453794672,,,,,,,40.895,0.430681915,44.04,0.414175282,51.35,0.416271866,,
40.19,0.453413428,,,,,,,41.03,0.430369516,44.29,0.413861454,51.47,0.416078539,,
40.3,0.453146557,,,,,,,41.475,0.430057116,44.47,0.413665311,51.555,0.415807881,,
40.44,0.452841562,,,,,,,41.77,0.429822816,44.635,0.413273025,51.705,0.415575889,,
40.605,0.452536567,,,,,,,41.94,0.429549467,44.81,0.413037654,51.81,0.415343896,,
40.775,0.452231572,,,,,,,42.105,0.429315167,44.945,0.412880739,51.92,0.415150569,,
40.91,0.451926577,,,,,,,42.24,0.428963717,45.1,0.412645368,52,0.414879911,,
41.035,0.451545333,,,,,,,42.515,0.428768468,45.305,0.412331539,52.12,0.414647919,,
41.055,0.451316586,,,,,,,41.84,0.428534168,45.44,0.412056939,52.225,0.414415926,,
41.26,0.451011591,,,,,,,42.705,0.428299868,45.625,0.411860796,52.35,0.414183934,,
41.405,0.450706596,,,,,,,43.05,0.428026519,45.825,0.411586196,52.42,0.413951941,,
41.565,0.450439725,,,,,,,43.15,0.427714119,46.005,0.411272368,52.54,0.413681283,,
41.675,0.45013473,,,,,,,43.345,0.427479819,46.185,0.411115453,52.665,0.413526622,,
41.835,0.449791611,,,,,,,43.46,0.42728457,46.34,0.410840853,52.775,0.413255964,,
41.98,0.449486615,,,,,,,43.645,0.42701122,46.485,0.410605482,52.875,0.413101302,,
42.115,0.449257869,,,,,,,43.835,0.42669882,46.645,0.41037011,52.975,0.412869309,,
42.245,0.44891475,,,,,,,43.54,0.42654262,46.81,0.410134739,53.07,0.412637317,,
42.32,0.448647879,,,,,,,44.025,0.426269271,46.965,0.409899368,53.135,0.412482655,,
42.265,0.448304759,,,,,,,44.375,0.426034971,47.15,0.409624768,53.21,0.412289328,,
42.38,0.448152262,,,,,,,44.59,0.425761621,47.32,0.409389396,53.325,0.412057336,,
42.52,0.447847266,,,,,,,44.79,0.425527322,47.49,0.409193253,53.4,0.411786678,,
42.655,0.447542271,,,,,,,45.25,0.424941572,47.675,0.408957882,53.49,0.411593351,,
42.795,0.447237276,,,,,,,44.715,0.424785373,47.835,0.408800968,53.585,0.411284027,,
42.935,0.44700853,,,,,,,45.375,0.424512023,48,0.408526368,53.665,0.411168031,,
43.05,0.44666541,,,,,,,45.555,0.424316773,48.15,0.408330225,53.765,0.4110907,,
43.21,0.446398539,,,,,,,45.645,0.424082473,48.29,0.408055625,53.85,0.410742712,,
43.335,0.446131669,,,,,,,45.77,0.423887224,48.41,0.40789871,53.96,0.410510719,,
43.455,0.445864798,,,,,,,46.035,0.423652924,48.55,0.407663339,54.065,0.410317392,,
43.5,0.445597927,,,,,,,46.31,0.423496724,48.695,0.407388739,54.115,0.4100854,,
43.63,0.445292932,,,,,,,46.63,0.423223375,48.845,0.407231825,54.195,0.410008069,,
43.705,0.44510231,,,,,,,46.55,0.423028125,49.005,0.406878767,54.275,0.409892072,,
43.785,0.444835439,,,,,,,47.035,0.422754775,49.155,0.406721853,54.345,0.409582749,,
43.88,0.444568569,,,,,,,47.215,0.422559525,49.335,0.406486482,54.43,0.409312091,,
43.995,0.444339822,,,,,,,47.275,0.422403326,49.48,0.406329567,54.515,0.40915743,,
44.145,0.444072951,,,,,,,47.42,0.422051876,49.595,0.406054967,54.595,0.408925437,,
44.29,0.443844205,,,,,,,47.61,0.421817576,49.735,0.405858825,54.675,0.408693445,,
44.49,0.443577334,,,,,,,47.77,0.421700426,49.88,0.405623453,54.74,0.408577448,,
44.62,0.443310463,,,,,,,47.93,0.421388027,50.01,0.40542731,54.81,0.408384121,,
44.585,0.443081717,,,,,,,47.725,0.421270877,50.14,0.405231167,54.855,0.408152129,,
44.735,0.442852971,,,,,,,48.15,0.421036577,50.28,0.404956567,54.965,0.407997467,,
44.9,0.442547976,,,,,,,48.48,0.420646078,50.435,0.404760424,55.04,0.40780414,,
45.075,0.442319229,,,,,,,48.775,0.420450828,50.58,0.404446596,55.115,0.407610813,,
45.235,0.442090483,,,,,,,49.015,0.420255578,50.715,0.404289682,55.185,0.40737882,,
45.4,0.441861736,,,,,,,49.33,0.420021279,50.86,0.40405431,55.28,0.407146828,,
45.58,0.441556741,,,,,,,49.625,0.419826029,50.995,0.40377971,55.345,0.407030832,,
45.77,0.441366119,,,,,,,49.53,0.419552679,51.16,0.403583567,55.405,0.406798839,,
45.86,0.441099249,,,,,,,49.835,0.419357429,51.29,0.403387424,55.47,0.406566847,,
46.075,0.440794253,,,,,,,50.095,0.41916218,51.425,0.403191281,55.555,0.406412185,,
46.29,0.440527383,,,,,,,50.375,0.41884978,,,55.655,0.406141527,,
46.52,0.440298636,,,,,,,50.65,0.41869358,,,55.725,0.406025531,,
46.74,0.439955517,,,,,,,50.91,0.41845928,,,55.8,0.405870869,,
46.92,0.439879268,,,,,,,51.15,0.418224981,,,55.855,0.405638877,,
47.095,0.439536148,,,,,,,51.395,0.417990681,,,55.925,0.40544555,,
47.2,0.439383651,,,,,,,51.31,0.417756381,,,55.995,0.405174892,,
47.385,0.438964282,,,,,,,51.615,0.417561132,,,56.05,0.405097561,,
47.57,0.438811785,,,,,,,51.865,0.417326832,,,56.135,0.404904234,,
47.735,0.43850679,,,,,,,52.125,0.417131582,,,56.195,0.404633576,,
47.85,0.438239919,,,,,,,52.345,0.416936332,,,56.265,0.40451758,,
48.03,0.437973048,,,,,,,52.565,0.416662983,,,56.35,0.404285587,,
48.235,0.437744302,,,,,,,52.795,0.416428683,,,56.405,0.40409226,,
48.4,0.437363058,,,,,,,52.995,0.416272483,,,56.47,0.403860268,,
48.595,0.437172436,,,,,,,53.205,0.416038183,,,56.495,0.403628275,,
48.77,0.437019938,,,,,,,53.185,0.415803884,,,56.57,0.403512279,,
48.93,0.436791192,,,,,,,53.415,0.415569584,,,56.625,0.403318952,,
49.045,0.436486197,,,,,,,53.62,0.415335284,,,56.705,0.403086959,,
49.23,0.43625745,,,,,,,53.83,0.415140035,,,56.775,0.402932298,,
49.405,0.435952455,,,,,,,54.025,0.414866685,,,56.845,0.402777636,,
49.565,0.435723709,,,,,,,54.225,0.414749535,,,56.915,0.402390982,,
49.745,0.435456838,,,,,,,54.37,0.414476185,,,56.965,0.402352316,,
49.92,0.435228092,,,,,,,54.56,0.414241886,,,56.985,0.402120324,,
50.095,0.434999345,,,,,,,54.76,0.414085686,,,57.035,0.401965662,,
50.2,0.43469435,,,,,,,54.91,0.413812336,,,57.1,0.401811001,,
50.345,0.434465604,,,,,,,54.875,0.413656136,,,57.18,0.401617673,,
50.53,0.434236858,,,,,,,55.04,0.413421837,,,57.19,0.401424346,,
50.71,0.434008111,,,,,,,55.225,0.413187537,,,57.25,0.401192354,,
50.865,0.43374124,,,,,,,55.41,0.412992287,,,57.335,0.401037692,,
51,0.433512494,,,,,,,55.59,0.412757988,,,57.34,0.4008057,,
51.19,0.433321872,,,,,,,55.75,0.412445588,,,57.4,0.400689703,,
51.345,0.432978752,,,,,,,55.96,0.412289388,,,57.46,0.400496376,,
51.405,0.432711882,,,,,,,56.08,0.412055088,,,57.44,0.400225718,,
51.58,0.43252126,,,,,,,56.265,0.411898889,,,57.55,0.400032391,,
51.71,0.43217814,,,,,,,56.39,0.411664589,,,57.53,0.39987773,,
51.88,0.432063767,,,,,,,56.59,0.411391239,,,57.62,0.399723068,,
52.025,0.431758772,,,,,,,56.535,0.411274089,,,57.605,0.39945241,,
52.175,0.43156815,,,,,,,56.735,0.41100074,,,57.68,0.39945241,,
52.315,0.431263155,,,,,,,,,,,57.705,0.399143087,,
52.445,0.431072533,,,,,,,,,,,57.775,0.398911094,,
52.59,0.430805662,,,,,,,,,,,57.74,0.398833764,,
52.69,0.430653164,,,,,,,,,,,57.835,0.398485775,,
52.815,0.430310045,,,,,,,,,,,57.835,0.398447109,,
52.975,0.430043174,,,,,,,,,,,57.88,0.398176451,,
53.08,0.429814428,,,,,,,,,,,57.95,0.39802179,,
53.255,0.429585681,,,,,,,,,,,57.91,0.397789797,,
53.395,0.429433184,,,,,,,,,,,58.005,0.397635136,,
53.53,0.429090064,,,,,,,,,,,58.035,0.397364478,,
53.685,0.428861318,,,,,,,,,,,57.995,0.397248481,,
53.825,0.428670696,,,,,,,,,,,58.065,0.397016489,,
53.835,0.428403825,,,,,,,,,,,58.12,0.396745831,,
54.01,0.428136954,,,,,,,,,,,58.145,0.396629835,,
54.145,0.427870084,,,,,,,,,,,,,,
54.26,0.427679462,,,,,,,,,,,,,,
54.36,0.427336342,,,,,,,,,,,,,,
54.51,0.42714572,,,,,,,,,,,,,,
54.625,0.426802601,,,,,,,,,,,,,,
54.745,0.426611979,,,,,,,,,,,,,,
54.855,0.426383232,,,,,,,,,,,,,,
54.975,0.426154486,,,,,,,,,,,,,,
55.095,0.425849491,,,,,,,,,,,,,,
55.15,0.425544495,,,,,,,,,,,,,,
55.28,0.425353874,,,,,,,,,,,,,,
55.39,0.425163252,,,,,,,,,,,,,,
55.535,0.424896381,,,,,,,,,,,,,,
55.64,0.424591386,,,,,,,,,,,,,,
55.76,0.424324515,,,,,,,,,,,,,,
55.875,0.424057644,,,,,,,,,,,,,,
